epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5469.94,0.8581,0.55073,1.23933,0.96332,0.95485,0.98162,0.79522,0.73951,0.37496,1.14852,0.0012862,0.0012862,0.0012862
43,5602.91,0.86397,0.5621,1.24769,0.96874,0.95609,0.98249,0.77823,0.77481,0.3842,1.16639,0.0012562,0.0012562,0.0012562
44,5736.61,0.86696,0.55261,1.24876,0.95161,0.96179,0.98055,0.7927,0.73954,0.36762,1.15354,0.00122596,0.00122596,0.00122596
45,5870.19,0.85713,0.54318,1.24345,0.96258,0.96388,0.98163,0.79649,0.73104,0.37887,1.14262,0.00119551,0.00119551,0.00119551
46,6003.52,0.83694,0.53178,1.22525,0.95526,0.9684,0.98215,0.7986,0.72597,0.35403,1.14986,0.00116487,0.00116487,0.00116487
47,6130.57,0.83924,0.53468,1.22475,0.955,0.97404,0.98349,0.80263,0.74058,0.34986,1.14071,0.00113408,0.00113408,0.00113408
48,6255.23,0.83785,0.52585,1.2255,0.96615,0.96464,0.98307,0.79695,0.74716,0.35912,1.13888,0.00110317,0.00110317,0.00110317
49,6391.42,0.8372,0.52754,1.2326,0.96482,0.96983,0.98313,0.79044,0.76122,0.36028,1.16469,0.00107216,0.00107216,0.00107216
50,6527.93,0.82489,0.52384,1.22162,0.96053,0.97037,0.98253,0.80419,0.7184,0.34853,1.13123,0.0010411,0.0010411,0.0010411
51,6663.41,0.84143,0.52442,1.2359,0.96485,0.97068,0.98417,0.80153,0.71623,0.34569,1.13824,0.00101,0.00101,0.00101
52,6800.8,0.82879,0.51868,1.22393,0.96185,0.96754,0.98433,0.8007,0.72792,0.34626,1.14093,0.000978903,0.000978903,0.000978903
53,6930.41,0.82137,0.50706,1.20937,0.96199,0.97135,0.9845,0.80267,0.72131,0.34608,1.12572,0.000947837,0.000947837,0.000947837
54,7059.01,0.80743,0.50211,1.20526,0.96255,0.96689,0.98263,0.80161,0.71781,0.35016,1.13097,0.000916833,0.000916833,0.000916833
55,7191.18,0.80077,0.49887,1.20272,0.95306,0.97968,0.98205,0.80692,0.69916,0.34181,1.11408,0.00088592,0.00088592,0.00088592
56,7322.58,0.80218,0.50307,1.20048,0.96753,0.96396,0.98438,0.80615,0.71207,0.33601,1.12071,0.00085513,0.00085513,0.00085513
57,7451.98,0.7998,0.50134,1.20051,0.96261,0.96853,0.98507,0.80279,0.71034,0.33119,1.13562,0.000824492,0.000824492,0.000824492
58,7583.13,0.7931,0.49958,1.1999,0.96587,0.97291,0.98482,0.8115,0.69353,0.32789,1.11733,0.000794038,0.000794038,0.000794038
59,7716.44,0.79854,0.49736,1.19752,0.96925,0.9699,0.98485,0.80695,0.70055,0.33014,1.12102,0.000763797,0.000763797,0.000763797
60,7848.43,0.80663,0.49591,1.21189,0.96504,0.97629,0.98398,0.80911,0.70141,0.32503,1.11846,0.000733799,0.000733799,0.000733799
61,7979.41,0.78992,0.48861,1.19848,0.9644,0.97968,0.98425,0.80673,0.69589,0.3191,1.11403,0.000704073,0.000704073,0.000704073
62,8113.66,0.7901,0.48257,1.19057,0.96754,0.98119,0.98517,0.81317,0.68721,0.31984,1.11135,0.000674649,0.000674649,0.000674649
63,8244.11,0.78999,0.48007,1.19132,0.96934,0.97542,0.98585,0.81609,0.68363,0.316,1.09425,0.000645557,0.000645557,0.000645557
64,8375.56,0.78863,0.47818,1.19354,0.97077,0.97476,0.98426,0.81029,0.69154,0.31895,1.11707,0.000616824,0.000616824,0.000616824
65,8506.99,0.78079,0.47054,1.18761,0.97341,0.97366,0.98511,0.81221,0.68754,0.31414,1.1065,0.000588479,0.000588479,0.000588479
66,8630.39,0.78353,0.47038,1.1865,0.97006,0.97521,0.98548,0.8126,0.69583,0.31551,1.10688,0.000560549,0.000560549,0.000560549
