epoch,phase,train_loss,valid_loss,valid_accuracy,valid_macro_f1,valid_balanced_accuracy,lr
1,head,0.30286028054821146,0.2397760867595379,0.854679802955665,0.8546679254021521,0.8531121027797678,0.001
2,head,0.14867475904290203,0.20761211182041267,0.8608374384236454,0.8599974565236537,0.8591115517582052,0.001
3,head,0.1250728629322898,0.217563657716302,0.8620689655172413,0.8593676783675244,0.8599895263910593,0.001
4,head,0.11189695033150107,0.18923032590763855,0.8713054187192119,0.8683204694246193,0.8691976655152667,0.001
5,head,0.11042842958455312,0.15424800001737418,0.8848522167487685,0.8830197346821024,0.8835117802378042,0.001
6,head,0.10885429845058985,0.14180918041418256,0.8897783251231527,0.8890393039613809,0.8887164859874114,0.001
7,head,0.10485683025784208,0.11397758819159405,0.9088669950738916,0.9082286458633174,0.9084499134678511,0.001
8,head,0.09695360767560393,0.14011175123327516,0.8934729064039408,0.8918825970744363,0.8924201772764414,0.001
9,head,0.09704405129488353,0.14780340316459384,0.8910098522167488,0.8885758595008699,0.8893219665490364,0.001
10,head,0.10014263482664518,0.13872426518799938,0.8940886699507389,0.8923988039477067,0.8927199193620116,0.001
11,head,0.09690108663016311,0.1239872367248949,0.9057881773399015,0.9050343322138744,0.9049035346697731,0.0005
12,head,0.08505103177059894,0.14219581471610437,0.8940886699507389,0.8926638195856569,0.8928215622289724,0.0005
13,finetune,0.08712266573770797,0.09816203281801512,0.9094827586206896,0.9087869573196855,0.9085582778448238,3e-05
14,finetune,0.06682442046141852,0.09413978630589984,0.9113300492610837,0.9104379350084943,0.9104849825470032,3e-05
15,finetune,0.06170067529452853,0.06467011481540144,0.9341133004926109,0.9342827386260636,0.934185170153801,3e-05
16,finetune,0.05390529862007681,0.08170325721310766,0.9230295566502463,0.9227204244156122,0.92261858138419,3e-05
17,finetune,0.04982041624487732,0.06180367962906754,0.9384236453201971,0.9388308533298609,0.939024356255494,3e-05
18,finetune,0.04334693495700628,0.05702263604971175,0.9458128078817734,0.9463935423180739,0.9463722143049791,3e-05
19,finetune,0.04094797132183291,0.07052008713044819,0.9328817733990148,0.9329325584368322,0.9326210366730348,3e-05
20,finetune,0.03871997893522238,0.043439506236436255,0.9532019704433498,0.9536759608912806,0.9541335714829497,3e-05
21,finetune,0.03483815384151911,0.04170339653949482,0.9507389162561576,0.9515420188919965,0.9514877534123783,3e-05
22,finetune,0.03294698528237342,0.040238907069311304,0.9550492610837439,0.9554859792400965,0.9560761201009974,3e-05
23,finetune,0.03303367190908822,0.03548329201279017,0.9624384236453202,0.9630653730029761,0.9634632525582643,3e-05
24,finetune,0.03815079645930261,0.03912131278881062,0.9593596059113301,0.959956682382429,0.960212781609945,3e-05
25,finetune,0.03259133015692151,0.039188914938203326,0.9593596059113301,0.9599416039455868,0.9600330486725379,3e-05
26,finetune,0.028105555504625887,0.03486795928826738,0.958128078817734,0.9588201839322545,0.9589494840128271,3e-05
27,finetune,0.028124394265961222,0.029389580933762115,0.9612068965517241,0.9618826063543444,0.9622387075399633,3e-05
28,finetune,0.02594091012174159,0.03653650440461028,0.9605911330049262,0.9611807309309844,0.9614408797078108,3e-05
29,finetune,0.027756612947886637,0.04041870234678967,0.9525862068965517,0.9530251878953571,0.9531688233786582,3e-05
30,finetune,0.02466870016517096,0.037903024752276,0.9556650246305419,0.9562283899343184,0.9560792254475967,3e-05
31,finetune,0.025089855790161198,0.03917936768730512,0.9550492610837439,0.9555816516623103,0.9557811977837348,1.5e-05
32,finetune,0.023778802841197117,0.04322131389570476,0.9550492610837439,0.9553008105021938,0.955286582292618,1.5e-05
33,finetune,0.02471512890727063,0.03855125529092598,0.9550492610837439,0.9555634850290755,0.9555550842794169,1.5e-05
34,finetune,0.02267253195308321,0.03898036391596164,0.9599753694581281,0.9605181625639352,0.9603045731818372,1.5e-05
35,finetune,0.017936265698372422,0.038130147367988726,0.9562807881773399,0.9566996508004912,0.956478793414069,7.5e-06
